user:417 naive:0.9222882801625989 user-user:0.9739719471532482
user:431 naive:0.725912997889962 user-user:0.8381938571283045
user:290 naive:0.7952298582323934 user-user:0.9022474393342739
user:26 naive:0.7769558547034986 user-user:0.942249794877004
user:389 naive:0.567620343259339 user-user:0.8280511251118656
user:12 naive:0.8815836220359314 user-user:0.9205259864302774
user:16 naive:0.7339548000893517 user-user:0.8836901104931005
user:37 naive:0.7154101092138323 user-user:0.8766716373798062
user:408 naive:0.718196512044392 user-user:0.8862484682640793
user:175 naive:0.8496029493900505 user-user:0.8835706411883073
user:391 naive:0.8508107492910982 user-user:0.8840572873934305
user:276 naive:0.6085732012095924 user-user:0.6831055034450072
user:598 naive:0.793160833341477 user-user:0.8677227793023101
user:108 naive:0.8983137534078457 user-user:0.9315493225736372
user:584 naive:0.6685499656158105 user-user:0.7734827557261299
